Date,Close,High,Low,Open,Volume
2010-01-04,16.512985229492200,16.66694156327500,16.473253829355700,16.602378985301900,5119300
2010-01-05,16.180246353149400,16.562650732391600,16.14051494546320,16.562650732391600,4948100
2010-01-06,16.4086971282959,16.493123532330200,16.170314353113400,16.22990957328450,5061700
2010-01-07,16.339170455932600,16.43352972049830,16.205079778182600,16.43352972049830,3481100
2010-01-08,16.304399490356400,16.349094469454800,16.190172673225400,16.349094469454800,3513800
2010-01-11,16.51795196533200,16.547750517704000,16.319300633011800,16.403727022985900,3609500
2010-01-12,16.413660049438500,16.60238042748540,16.388828869444900,16.49808833481380,4354600
2010-01-13,16.647077560424800,16.691774442886600,16.44345885020930,16.493121210945700,4961300
2010-01-14,16.60735321044920,16.642117256630800,16.522926782436500,16.632186295863300,2654200
2010-01-15,16.557687759399400,16.567620612824100,16.354069000437800,16.46332849361170,7412400
2010-01-19,16.711641311645500,16.711641311645500,16.43849262503350,16.582516133520200,4693100
2010-01-20,16.602384567260700,16.657014313567000,16.458361035089300,16.642114086257400,8748000
2010-01-21,16.463319778442400,16.751364797285000,16.3937898412763,16.632174408280100,4380800
2010-01-22,16.16037940979000,16.562649462020800,16.15044655863030,16.453391888259400,5910100
2010-01-25,16.289508819580100,16.34910405448080,16.10575574017870,16.284543339379300,4476600
2010-01-26,16.373931884765600,16.443459952255400,16.19017696983080,16.279570740745700,5362200
2010-01-27,16.344133377075200,16.503055215941200,15.946828779910200,16.34909885569700,9757100
2010-01-28,16.081396102905300,16.398494584272600,16.076362687007700,16.317959929911000,5068900
2010-01-29,16.10655975341800,16.20722613588710,16.031060446579000,16.136760244174200,5421300
2010-02-01,16.10655975341800,16.177025645130900,15.98072725534440,16.15185952952650,3769100
2010-02-02,16.182064056396500,16.19212896910740,15.960597575716100,16.096496937937600,4712400
2010-02-03,16.10655975341800,16.177025645130900,16.031060446579000,16.10655975341800,3143100
2010-02-04,15.895163536071800,16.121661491041400,15.89516353607180,16.051195588609900,4895000
2010-02-05,15.955565452575700,15.975698158496000,15.75926604970310,15.89013199827610,7399800
2010-02-08,15.668662071228000,15.96059342525590,15.653562786036100,15.950527555136500,3802600
2010-02-09,15.749191284179700,15.905223267058200,15.683757866826300,15.744157870535200,4218000
2010-02-10,15.744165420532200,15.784431788972400,15.60826606703680,15.749198836590500,3165800
2010-02-11,15.764296531677200,15.79449606494910,15.527731761000400,15.698864049583900,3605200
2010-02-12,15.688796997070300,15.739130191830300,15.59819743850760,15.64853063326750,6222500
2010-02-16,16.046159744262700,16.06629340478230,15.608263188244600,15.869995014844900,3797300
2010-02-17,15.925362586975100,16.156893950793700,15.89516305256960,16.11662854493690,3320700
2010-02-18,16.010929107666000,16.041129602801300,15.895163423058400,15.895163423058400,2976400
2010-02-19,16.252525329589800,16.282723899212400,15.970659852787100,15.975693267732700,4247500
2010-02-22,16.277692794799800,16.353193065223000,16.212259355103100,16.31292574231690,3799400
